	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
6	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)	CompSci 112 COMPUTER GRAPHICS (Prerequisites)
7	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
8	34010	Lec	A	4	ZHAO, S.	TuTh 9:30-10:50	SH 174	TBA	78	78	0	104	0	A and J	Bookstore		Waitl
9	34011	Dis	1	0	STAFFZHAO, S.	W 11:00-11:50	ICS 180		39	39	0	42	0	A and J	Bookstore		Waitl
10	34012	Dis	2	0	STAFFZHAO, S.	W 12:00-12:50p	ICS 180		39	39	0	43	0	A and J	Bookstore		Waitl
11																	
12	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)	CompSci 115 COMPUTER SIMULATION (Prerequisites)
13	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
14	34020	Lec	A	4	HAYES, W.	TuTh 12:30- 1:50p	DBH 1300	TBA	50	23	0	38	0	A and J	Bookstore		OPEN
15	34021	Dis	1	0	STAFFHAYES, W.	M 12:00-12:50p	SST 220A		50	23	0	29	0	A and J	Bookstore		OPEN
16																	
17	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)	CompSci 117 PROJ IN COMP VISION (Prerequisites)
18	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
